aA	aAa	aAa	aAa	aAa	aAaA0AaAa	aAaAaA0	aAaAaA0	#aAaAa	#aAaAa	#aAaAa	#aAaAa	aAa	aAa	aAaAaAaAa	aAaAaAaAa	aAa	aAa	aAaAaAa	aAaAa	aAa	aAa	aAaAa	aAaAa	aAaAa	Aa	Aa	AaAaAa	N
0	a_0.0		a_0.0.a						0		0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	N
0	a_0.0	a_0.0.a	a_0.0.a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N
0	a_0.0	a_0.0.a	a_0.0.a					0	0	0	0	0	0	0	0	0	0	0	0	-0	-0	0	0	0	0	0	0	N
0	a_0.0	a_0.0.a	a_0.0.a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N
0	a_0.0	a_0.0.a	a_0.0.a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N
0	a_0.0	a_0.0.a	a_0.0.a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N
0	a_0.0	a_0.0.a	a_0.0.a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N
0	a_0.0	a_0.0.a	a_0.0.a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N
0	a_0.0	a_0.0.a	a_0.0.a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N
0	a_0.0	a_0.0.a	a_0.0.a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N
0	a_0.0	a_0.0.a	a_0.0.a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N
0	a_0.0	a_0.0.a	a_0.0.a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N
0	a_0.0	a_0.0.a	a_0.0.a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N
0	a_0.0	a_0.0.a	a_0.0.a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N
0	a_0.0	a_0.0.a	a_0.0.a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N
0	a_0.0	a_0.0.a	a_0.0.a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N
0	a_0.0	a_0.0.a	a_0.0.a					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N
