Aa	Aa	Aa a.	Aa a	Aa a	Aa a	Aa a a	Aa Aa	Aa aN
a0	0	0	A/A	0	A/A	A/A	Aa0	aAN
a0.0	0	0	A/A	0	A/A	A/A	Aa0	-N
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0	-N
a0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	aAN
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	aAN
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	aAN
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0	aA0N
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	aAN
a0	0	0	A/A	0	A/A	A/A	Aa0a	aAN
a0.0	0	0	A/A	0	A/A	A/A	Aa0	a0N
a0.0	0	0	A/A	0	A/A	A/A	Aa0a	aAN
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0	-N
a0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0	aAN
a0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	aA0N
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0	aA0N
a0	0	0	A/A	0	A/A	A/A	Aa0	aAN
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	aA0N
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	aAN
a0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	-N
a0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	aAN
a0**	0	0	A/A	0	A/A	A/A	Aa0	aAN
a0.0	0	0	A/A	0	A/A	A/A	Aa0	aAN
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	aAN
a0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	aAN
a0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	aA0N
a0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0	aA0N
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	a0N
a0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0	aAN
a0.0	0	0	A/A	0	A/A	A/A	Aa0a	aAN
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0	aA0N
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0	-N
a0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0	aAN
a0.0	0	0	A/A	0	A/A	A/A	Aa0	aAN
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0	aAN
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	-N
a0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	aAN
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	-N
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0	-N
a0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0	-N
a0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0	a0N
a0.0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0	-N
a0.0	0	0	A/A	0	A/A	A/A	Aa0a	aAN
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	aN
a0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0	aA0N
a0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	aA0N
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0	aAN
a0.0	0	0	A/A	0	A/A	A/A	Aa0	-N
a0.0	0	0	A/A	0	A/A	A/A	Aa0a	aAN
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	a0N
a0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0	aAaN
a0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0	-N
a0.0.0	0	0	A/A	0	A/A	A/A	Aa0	-N
a0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	aA0N
a0.0.0.0	0	0	A/A	0	A/A	A/A	Aa0a	aAN
a0.0	0	0	A/A	0	A/A	A/A	Aa0	aAN
a0.0	0	0	A/A	0	A/A	A/A	Aa0a	aA0N
a0.0**	0	0	A/A	0	A/A	A/A	Aa0	aAN
a0	0	0	A/A	0	A/A	A/A	Aa0	aAN
a0	0	0	A/A	0	A/A	A/A	Aa0	aAN
a0	0	0	A/A	0	A/A	A/A	Aa0a	aAN
aA	0	0	A/A	0	A/A	A/A	Aa0a	-N
aA_A	0	0	A/A	0	A/A	A/A	Aa0	a0N
